n,lambda_n,lambda_n_over_n
221,351.250302648219669965503447551,1.589367885286061855047526912
222,353.280702563800258303605680254,1.59135451605315431668290846961
223,355.301182730133501858163946485,1.59327884632346861819804460307
224,357.311871848614079536382380776,1.59514228503845571221599277132
225,359.312953873448454543137177095,1.59694646165977090908060967598
226,361.304667347326249495707316777,1.5986932183510011039633067114
227,363.287304477735761548469034709,1.60038460122350555748224244365
228,365.261209957716016045406249108,1.60202285069173691247985196977
229,367.226779536084890483322357291,1.60361039098727026411931160389
230,369.184458343406967814211203927,1.60514981888437812093135306055
231,371.13473898115984378627807485,1.60664389169333265708345486948
232,373.078159382717701199328790802,1.60809551458067974654883099484
233,375.015300455890327800022666348,1.60950772727849926094430328905
234,376.946783517828844945164980315,1.61088369024713181600497854835
235,378.873267534130907355204406489,1.61222667035800386108597619782
236,380.795446174942958398576513125,1.61354002616501253558718861494
237,382.71404470176048570929506956,1.61482719283443242915314375342
238,384.629816699464624969339336977,1.61609166680447321415688797049
239,386.543540668900735342324177176,1.61733699024644659139047772877
240,388.456016495997892644631697591,1.6185667353999912193526320733
241,390.368061814044153683536416202,1.61978448885495499453749550291
242,392.28050827626785587465914179,1.62099383585234651187875678426
243,394.194197756327445093855024907,1.62219834467624463001586430003
244,396.10997849467909622817146409,1.62340155120770121404988304955
245,398.02870120907085068769767026,1.62460694371049326811305171535
246,399.951215187602719296790258411,1.62581794791708422478370023744
247,401.878364382893201220994721393,1.62703791248134899279754947933
